il,ISTANBUL,,,,,,,,,,,,,
ilce,USKUDAR,,,,,,,,,,,,,
Row Labels,Sum of kayitli_secmen,Sum of oy_kullanan_kayitli_secmen,Sum of gecerli_oy,Sum of akp_oy,Sum of chp_oy,,katilim %,akp oran,chp oran,,,,,
1030,303,255,226,77,124,,0.84158415841584155,0.34070796460176989,0.54867256637168138
1031,303,263,251,95,142,,0.86798679867986794,0.37848605577689243,0.56573705179282874
1032,303,271,257,80,161,,0.89438943894389444,0.31128404669260701,0.62645914396887159
1033,306,273,268,111,134,,0.89215686274509809,0.41417910447761191,0.5
1034,306,267,263,139,103,,0.87254901960784315,0.52851711026615966,0.39163498098859317
1035,304,265,262,103,143,,0.87171052631578949,0.3931297709923664,0.54580152671755722
1036,302,272,268,104,147,,0.90066225165562919,0.38805970149253732,0.54850746268656714
1037,304,264,258,94,143,,0.86842105263157898,0.36434108527131781,0.55426356589147285
1038,304,276,273,108,148,,0.90789473684210531,0.39560439560439559,0.54212454212454209
1039,304,275,273,103,140,,0.90460526315789469,0.37728937728937728,0.51282051282051277
1040,304,270,267,103,131,,0.88815789473684215,0.38576779026217228,0.49063670411985016
1041,304,264,261,81,150,,0.86842105263157898,0.31034482758620691,0.57471264367816088
1042,302,274,270,119,132,,0.9072847682119205,0.44074074074074077,0.48888888888888887
1043,303,265,258,69,162,,0.87458745874587462,0.26744186046511625,0.62790697674418605
1044,305,272,267,76,171,,0.8918032786885246,0.28464419475655428,0.6404494382022472
1045,303,270,264,110,140,,0.8910891089108911,0.41666666666666669,0.53030303030303028
1046,310,248,236,62,166,,0.8,0.26271186440677968,0.70338983050847459
1047,311,269,265,102,137,,0.864951768488746,0.38490566037735852,0.51698113207547169
1048,310,277,266,96,144,,0.8935483870967742,0.36090225563909772,0.54135338345864659
1049,310,290,278,114,142,,0.93548387096774188,0.41007194244604317,0.51079136690647486
1050,309,278,274,90,160,,0.89967637540453071,0.32846715328467152,0.58394160583941601
1051,310,277,270,96,152,,0.8935483870967742,0.35555555555555557,0.562962962962963
1052,307,240,234,60,159,,0.78175895765472314,0.25641025641025639,0.67948717948717952
1053,306,245,233,61,162,,0.80065359477124187,0.26180257510729615,0.69527896995708149
1054,308,240,231,50,170,,0.77922077922077926,0.21645021645021645,0.73593073593073588
1055,308,269,261,90,155,,0.87337662337662336,0.34482758620689657,0.5938697318007663
1056,308,281,270,84,155,,0.91233766233766234,0.31111111111111112,0.57407407407407407
1057,308,274,261,72,170,,0.88961038961038963,0.27586206896551724,0.65134099616858232
